Rate Date,Currency,Rate Year,Rate Month,Buying Rate,Central Rate,Selling rate
1/28/2003,POUNDS STERLING,2003,January,206.3786,207.1963,208.0138
5/30/2014,EURO,2014,May,210.6494,211.3301,212.0108
6/25/2009,WAUA,2009,June,225.4503,226.2237,226.997
11/15/2007,POUNDS STERLING,2007,November,240.7844,241.8119,242.8394
12/12/2017,US DOLLAR,2017,December,305.3,305.8,306.3
6/16/2011,EURO,2011,June,214.3455,215.0498,215.754
3/7/2018,POUNDS STERLING,2018,March,422.4223,423.1153,423.8082
8/4/2017,POUNDS STERLING,2017,August,400.4223,401.0797,401.7371
10/3/2002,WAUA,2002,October,165.2467,165.9077,166.5687
10/27/2008,POUNDS STERLING,2008,October,177.92,178.6898,179.4595
4/18/2006,US DOLLAR,2006,April,126.2,126.7,127.2
11/17/2016,WAUA,2016,November,413.1869,413.8653,414.5438
8/28/2012,US DOLLAR,2012,August,154.8,155.3,155.8
7/7/2006,EURO,2006,July,162.1911,162.834,163.4768
5/27/2010,WAUA,2010,May,216.7971,217.5306,218.2641
8/3/2022,POUNDS STERLING,2022,August,507.2726,507.8816,508.4906
10/5/2023,WAUA,2023,October,996.4438,997.0896,997.7353
5/16/2005,POUNDS STERLING,2005,May,242.1322,243.0506,243.9689
5/13/2015,WAUA,2015,May,275.8306,276.5343,277.2379
5/2/2024,POUNDS STERLING,2024,May,1800.9214,1801.5463,1802.1711
8/18/2023,US DOLLAR,2023,August,743.635,744.135,744.635
9/21/2010,WAUA,2010,September,225.5929,226.3518,227.1107
8/13/2020,EURO,2020,August,448.6223,449.2142,449.806
4/17/2012,WAUA,2012,April,238.0889,238.8584,239.6279
1/25/2010,US DOLLAR,2010,January,147.63,148.13,148.63
7/26/2002,WAUA,2002,July,157.2259,157.8423,158.4586
5/10/2019,US DOLLAR,2019,May,306.0,306.5,307.0
3/10/2020,POUNDS STERLING,2020,March,399.0812,399.7334,400.3856
3/26/2008,US DOLLAR,2008,March,115.73,116.23,116.73
11/13/2020,WAUA,2020,November,537.1275,537.8361,538.5447
1/24/2023,WAUA,2023,January,613.0695,613.7367,614.4038
2/27/2009,EURO,2009,February,183.3656,183.9986,184.6315
3/4/2022,EURO,2022,March,455.8834,456.4323,456.9812
7/17/2018,US DOLLAR,2018,July,304.8,305.3,305.8
12/7/2018,POUNDS STERLING,2018,December,390.7234,391.3621,392.0009
7/2/2004,WAUA,2004,July,192.7908,193.5224,194.2541
2/27/2003,EURO,2003,February,136.3788,136.9199,137.461
7/1/2016,WAUA,2016,July,393.7722,394.4723,395.1723
8/26/2020,POUNDS STERLING,2020,August,498.1955,498.8528,499.51
5/5/2005,EURO,2005,May,170.8128,171.4608,172.1088
2/1/2017,US DOLLAR,2017,February,304.25,304.75,305.25
7/9/2024,WAUA,2024,July,1996.9552,1997.5999,1998.2445
2/20/2023,EURO,2023,February,491.4319,491.9661,492.5003
11/21/2005,WAUA,2005,November,181.9016,182.6092,183.3168
12/2/2014,WAUA,2014,December,239.3209,240.0375,240.754
2/26/2008,POUNDS STERLING,2008,February,228.2024,229.1879,230.1734
11/24/2008,WAUA,2008,November,169.9487,170.6839,171.4191
7/15/2021,WAUA,2021,July,581.3842,582.0947,582.8052
6/2/2015,EURO,2015,June,216.0741,216.6254,217.1768
10/8/2002,POUNDS STERLING,2002,October,195.4875,196.2695,197.0514
3/8/2010,EURO,2010,March,201.0782,201.7607,202.4432
12/23/2002,US DOLLAR,2002,December,125.9,126.4,126.9
12/17/2015,POUNDS STERLING,2015,December,292.348,293.0939,293.8398
7/1/2008,POUNDS STERLING,2008,July,230.8553,231.8536,232.8518
6/22/2021,EURO,2021,June,486.6906,487.2853,487.88
10/20/2023,US DOLLAR,2023,October,831.578,832.078,832.578
4/17/2002,WAUA,2002,April,143.3871,144.01,144.6329
4/19/2013,US DOLLAR,2013,April,154.75,155.25,155.75
2/26/2014,EURO,2014,February,212.642,213.329,214.0161
1/7/2020,EURO,2020,January,342.1386,342.6977,343.2567
2/13/2003,WAUA,2003,February,172.8694,173.553,174.2365
2/28/2006,EURO,2006,February,150.8887,151.4828,152.0768
7/22/2005,US DOLLAR,2005,July,131.86,132.36,132.86
11/4/2015,EURO,2015,November,214.1865,214.733,215.2794
6/12/2017,WAUA,2017,June,421.5885,422.2804,422.9723
6/26/2013,POUNDS STERLING,2013,June,237.727,238.4951,239.2632
9/30/2003,WAUA,2003,September,179.943,180.6495,181.3559
12/19/2006,EURO,2006,December,165.6905,166.348,167.0054
